gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
178015,01,000208,2018-12-28,,Nasdaq 100,LGCAP,I0028,,,EXCHG,LULULEMON ATHLETICA INC,LULU,550021109,0001397187,2300,315
144009,01,000208,2018-12-28,2020-04-30,Nasdaq 100,LGCAP,I0028,,,EXCHG,WILLIS TOWERS WATSON PLC,WTW,G96629103,0001140536,6411,524210
010795,04,000208,2018-12-28,2020-06-22,Nasdaq 100,LGCAP,I0028,,,EXCHG,UNITED AIRLINES HOLDINGS INC,UAL,910047109,0000100517,4512,481111
061591,01,000208,2018-12-28,2020-08-21,Nasdaq 100,LGCAP,I0028,,,EXCHG,NETAPP INC,NTAP,64110D104,0001002047,3572,334112
066368,01,000208,2018-12-28,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,VERISIGN INC,VRSN,92343E102,0001014473,7370,519290
008539,01,000208,2019-11-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,EXELON CORP,EXC,30161N101,0001109357,4911,22111
029901,01,000208,2019-12-23,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COPART INC,CPRT,217204106,0000900075,5010,425120
063080,01,000208,2019-12-23,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ANSYS INC,ANSS,03662Q105,0001013462,7372,511210
112111,01,000208,2019-12-23,2020-07-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,COSTAR GROUP INC,CSGP,22160N109,0001057352,7370,519290
028320,02,000208,2019-12-23,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,CDW CORP,CDW,12514G108,0001402057,5045,423430
170616,01,000208,2019-12-23,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,SPLUNK INC,SPLK,848637104,0001353283,7372,513210
141460,01,000208,2019-12-23,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,SEAGEN INC,SGEN,81181C104,0001060736,2836,325414
034636,01,000208,2020-03-19,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOX CORP,FOXA,35137L105,0001754301,4833,516120
034636,02,000208,2020-03-19,2021-12-20,Nasdaq 100,LGCAP,I0028,,,EXCHG,FOX CORP,FOXA,35137L204,0001754301,4833,516120
162887,01,000208,2020-04-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DEXCOM INC,DXCM,252131107,0001093557,3845,334510
035005,01,000208,2020-04-30,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,ZOOM VIDEO COMUNICATIONS INC,ZM,98980L101,0001585521,7370,519290
033301,01,000208,2020-06-22,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOCUSIGN INC,DOCU,256163106,0001261333,7370,518210
034410,01,000208,2020-07-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MODERNA INC,MRNA,60770K107,0001682852,2836,325414
033861,90,000208,2020-08-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PDD HOLDINGS INC,PDD,722304102,0001737806,7370,519290
028877,02,000208,2020-10-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,KEURIG DR PEPPER INC,KDP,49271V100,0001418135,2080,311930
001440,01,000208,2020-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211
026494,01,000208,2020-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ATLASSIAN CORP,TEAM,049468101,0001650372,7370,519290
137310,01,000208,2020-12-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MARVELL TECHNOLOGY INC,MRVL,573874104,0001835632,3674,334413
035627,01,000208,2020-12-21,2022-01-24,Nasdaq 100,LGCAP,I0028,,,EXCHG,PELOTON INTERACTIVE INC,PTON,70614W100,0001639825,3949,339920
030736,01,000208,2020-12-21,2022-11-18,Nasdaq 100,LGCAP,I0028,,,EXCHG,OKTA INC,OKTA,679295105,0001660134,7370,519290
026061,01,000208,2020-12-21,2022-12-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,MATCH GROUP INC,MTCH,57667L107,0000891103,7370,519290
001300,01,000208,2021-07-21,,Nasdaq 100,LGCAP,I0028,,,EXCHG,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,336413
035182,01,000208,2021-08-26,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CROWDSTRIKE HOLDINGS INC,CRWD,22788C105,0001535527,7370,518210
033037,01,000208,2021-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ZSCALER INC,ZS,98980G102,0001713683,7370,518210
035620,01,000208,2021-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DATADOG INC,DDOG,23804L103,0001561550,7370,518210
037460,01,000208,2021-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,AIRBNB INC,ABNB,009066101,0001559720,7000,721
171067,01,000208,2021-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,PALO ALTO NETWORKS INC,PANW,697435105,0001327567,7370,518210
183377,01,000208,2021-12-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,FORTINET INC,FTNT,34959E109,0001262039,7372,513210
039337,01,000208,2021-12-20,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,LUCID GROUP INC,LCID,549498103,0001811210,3711,336110
024617,01,000208,2022-01-24,,Nasdaq 100,LGCAP,I0028,,,EXCHG,OLD DOMINION FREIGHT,ODFL,679580100,0000878927,4213,484122
040614,01,000208,2022-02-02,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CONSTELLATION ENE CORP,CEG,21037T109,0001868275,4911,22111
028272,90,000208,2022-02-22,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ASTRAZENECA PLC,AZN,046353108,0000901832,2834,325412
187450,01,000208,2022-11-21,2023-12-17,Nasdaq 100,LGCAP,I0028,,,EXCHG,ENPHASE ENERGY INC,ENPH,29355A107,0001463101,3674,334413
032106,01,000208,2022-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,BAKER HUGHES CO,BKR,05722G100,0001701605,1389,213112
039822,01,000208,2022-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,GLOBALFOUNDRIES INC,GFS,G39387108,0001709048,3674,334413
112111,01,000208,2022-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COSTAR GROUP INC,CSGP,22160N109,0001057352,7370,519290
164296,01,000208,2022-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,WARNER BROS DISCOVERY INC,WBD,934423104,0001437107,4841,516210
170750,01,000208,2022-12-19,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DIAMONDBACK ENERGY INC,FANG,25278X109,0001539838,1311,2111
039811,01,000208,2022-12-19,2023-06-19,Nasdaq 100,LGCAP,I0028,,,EXCHG,RIVIAN AUTOMOTIVE INC,RIVN,76954A103,0001874178,3711,336110
041818,01,000208,2023-06-07,,Nasdaq 100,LGCAP,I0028,,,EXCHG,GE HEALTHCARE TECHNOLOGI INC,GEHC,36266G107,0001932393,3845,334510
134932,01,000208,2023-06-20,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ON SEMICONDUCTOR CORP,ON,682189105,0001097864,3674,334413
027885,01,000208,2023-07-17,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TRADE DESK INC,TTD,88339J105,0001671933,7370,519290
012756,01,000208,2023-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,COCA-COLA EUROPACIFIC PARTNE,CCEP,G25839104,0001650107,2086,312111
024925,01,000208,2023-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,ROPER TECHNOLOGIES INC,ROP,776696106,0000882835,7370,518210
028320,02,000208,2023-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,CDW CORP,CDW,12514G108,0001402057,5045,423430
032526,01,000208,2023-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,MONGODB INC,MDB,60937P106,0001441816,7370,518210
037420,01,000208,2023-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,DOORDASH INC,DASH,25809K105,0001792789,7370,519290
064630,01,000208,2023-12-18,,Nasdaq 100,LGCAP,I0028,,,EXCHG,TAKE-TWO INTERACTIVE SFTWR,TTWO,874054109,0000946581,7372,513210
170616,01,000208,2023-12-18,2024-03-15,Nasdaq 100,LGCAP,I0028,,,EXCHG,SPLUNK INC,SPLK,848637104,0001353283,7372,513210
025124,01,000208,2024-03-16,,Nasdaq 100,LGCAP,I0028,,,EXCHG,LINDE PLC,LIN,G54950103,0001707925,2810,325120
